competition.id,competition.name,competition.date_from
2052,Panamerican Senior Championships 2020,2020-11-19
2045,European Seniors Championships 2020,2020-11-19
2043,Lima Panamerican Open 2020,2020-12-06
2044,African Seniors Championships 2020,2020-12-17
2180,Doha Masters 2021,2021-01-11
2227,Tel Aviv Grand Slam 2021,2021-02-18
2199,Prague European Open 2021,2021-02-27
2230,Tashkent Grand Slam 2021,2021-03-05
2240,Aktau Asian Open 2021,2021-03-13
2233,Tbilisi Grand Slam 2021,2021-03-26
2234,Antalya Grand Slam 2021,2021-04-01
2235,Asia-Oceania Senior Championships 2021,2021-04-06
2237,Panamerican Senior Championhips 2021 Individuals,2021-04-15
2200,European Seniors Championships 2021,2021-04-16
2232,Guadalajara Panamerican Open 2021,2021-04-17
2241,Punta Cana Panamerican Open 2021,2021-04-24
2251,"European Judo Open 2021 Zagreb, Croatia",2021-05-01
2238,Kazan Grand Slam 2021,2021-05-05
2231,Lima Panamerican Open 2021,2021-05-15
2236,African Senior Championships 2021,2021-05-20
2242,Guayaquil Panamerican Open 2021,2021-05-22
2239,World Judo Championships Seniors Hungary 2021,2021-06-06
2035,Olympic Games Tokyo 2020,2021-07-24
2201,Sarajevo European Open 2021,2021-09-18
2253,Zagreb Grand Prix 2021,2021-09-24
2248,World Championships Juniors 2021,2021-10-06
2260,Paris Grand Slam 2021,2021-10-16
2263,Malaga European Open 2021,2021-10-23
2267,Baku Grand Slam 2021,2021-11-05
2277,Yaounde African Open 2021,2021-11-06
2276,Dakar African Open 2021,2021-11-13
2317,Abu Dhabi Grand Slam 2021,2021-11-26
2281,Grand Prix Portugal 2022,2022-01-28
2282,Paris Grand Slam 2022,2022-02-05
2283,Sarajevo European Open 2022,2022-02-12
2284,Tel Aviv Grand Slam 2022,2022-02-17
2286,Warsaw European Open 2022,2022-02-26
2287,Prague European Open 2022,2022-03-05
2359,Tunis African Open 2022,2022-03-12
2360,Algiers African Open 2022,2022-03-19
2289,Antalya Grand Slam 2022,2022-04-01
2292,Panamerican - Oceania Senior Championships 2022,2022-04-15
2293,European Judo Championships Seniors Sofia 2022,2022-04-29
2290,African Senior Championships 2022,2022-05-26
2288,Tbilisi Grand Slam 2022,2022-06-03
2362,Madrid European Open 2022,2022-06-11
2364,Ulaanbaatar Grand Slam 2022,2022-06-24
2294,Cluj-Napoca European Open 2022,2022-07-02
2296,Grand Slam Hungary 2022,2022-07-08
2365,Guayaquil Panamerican Open 2022,2022-07-09
2306,Zagreb Grand Prix 2022,2022-07-15
2436,Asian Senior Championships 2022 (Individuals and Teams),2022-08-04
2302,Guayaquil World Championships Juniors 2022 Individuals,2022-08-10
2424,Aktau Asian Open 2022,2022-08-13
2356,Tahiti Oceania Open 2022,2022-09-03
2304,Oberwart European Open 2022,2022-09-03
2398,Santo Domingo Panamerican Open 2022,2022-09-10
2307,Riccione European Open 2022,2022-09-10
2367,Lima Panamerican Open 2022,2022-09-17
2459,Bogota Panamerican Open 2022,2022-09-24
2298,Tashkent World  Championships Senior 2022,2022-10-06
2309,Abu Dhabi Grand Slam 2022,2022-10-21
2310,Perth Oceania Open 2022,2022-10-29
2311,Baku Grand Slam 2022,2022-11-04
2460,Panamerican Open Cordoba 2022,2022-11-05
2314,Dakar African Open 2022,2022-11-12
2313,Yaounde African Open 2022,2022-11-20
2471,Zouk Mikhael Asian Open 2022,2022-11-26
2315,Tokyo Grand Slam 2022,2022-12-03
